 &SRS
 SRSRUN=236467,SRSDAT=2021124,SRSTIM=2563,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:56:02 2021'
beamenergy=3.00093564698
ringcurrent=299.339180813
iddgap=36.2784
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.267633402
pgmgratpitch=87.5558768731
cff=2.25
grating=400
pgmenergy=694.6734
denergy=694.673
uenergy=694.673
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0894
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0417
m7x=-1.4
m7pitch=6949.0
m7qg=15.1122
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4886
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
707.732400	   61	  98786.000000000000	  22953.000000000000	  11202.000000000000	   1834.000000000000	    708.318000000000	    707.732400000000	  22717.000000000000	      0.000000000000	      4.303838278221	      0.488040778983	      0.079902409271	      0.989718119636
707.946700	   62	  95449.000000000000	  22969.000000000000	  11008.000000000000	   1835.000000000000	    708.549000000000	    707.946700000000	  21069.000000000000	      0.000000000000	      4.155557490531	      0.479254647568	      0.079890286908	      0.917279811920
708.172200	   63	  90864.000000000000	  22976.000000000000	  10905.000000000000	   2039.000000000000	    708.766000000000	    708.172200000000	  20300.000000000000	      0.000000000000	      3.954735376045	      0.474625696379	      0.088744777159	      0.883530640669
708.388900	   64	  89460.000000000000	  22982.000000000000	  10818.000000000000	   2089.000000000000	    708.989000000000	    708.388900000000	  19985.000000000000	      0.000000000000	      3.892611609085	      0.470716212688	      0.090897223914	      0.869593594987
708.627800	   65	  91077.000000000000	  22986.000000000000	  10802.000000000000	   1884.000000000000	    709.220000000000	    708.627800000000	  19884.000000000000	      0.000000000000	      3.962281388671	      0.469938223266	      0.081962933960	      0.865048290264
708.836900	   66	  94534.000000000000	  22987.000000000000	  10734.000000000000	   1806.000000000000	    709.437000000000	    708.836900000000	  19627.000000000000	      0.000000000000	      4.112498368643	      0.466959585853	      0.078566146083	      0.853830425893
709.068200	   67	  97411.000000000000	  22984.000000000000	  10672.000000000000	   1978.000000000000	    709.662000000000	    709.068200000000	  19246.000000000000	      0.000000000000	      4.238209189001	      0.464323007309	      0.086059867734	      0.837365123564
709.261400	   68	  97926.000000000000	  22982.000000000000	  10466.000000000000	   2119.000000000000	    709.899000000000	    709.261400000000	  18569.000000000000	      0.000000000000	      4.260986859281	      0.455399878166	      0.092202593334	      0.807980158385
709.493400	   69	  95373.000000000000	  22971.000000000000	  10184.000000000000	   1963.000000000000	    710.112000000000	    709.493400000000	  17637.000000000000	      0.000000000000	      4.151887162074	      0.443341604632	      0.085455574420	      0.767794175264
709.694700	   70	  89601.000000000000	  22974.000000000000	   9855.000000000000	   1812.000000000000	    710.327000000000	    709.694700000000	  16559.000000000000	      0.000000000000	      3.900104465918	      0.428963175764	      0.078871768086	      0.720771306695
