 &SRS
 SRSRUN=236464,SRSDAT=2021124,SRSTIM=25111,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:51:10 2021'
beamenergy=3.00092942727
ringcurrent=301.621872813
iddgap=36.38535
iddtrp=-22.426
iddbrp=-22.426
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.2676226748
pgmgratpitch=87.5559801511
cff=2.25
grating=400
pgmenergy=694.7855
denergy=694.786
uenergy=694.786
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.1035
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0339
m7x=-1.4
m7pitch=6949.0
m7qg=14.5392
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1499.9
s6y=8.4887
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
712.813600	   87	  54794.000000000000	  22317.000000000000	   7821.000000000000	   2020.000000000000	    714.757000000000	    712.813600000000	   9884.000000000000	      0.000000000000	      2.455258323251	      0.350450329345	      0.090513957969	      0.442891069588
712.988800	   88	  54170.000000000000	  22298.000000000000	   7770.000000000000	   1821.000000000000	    714.963000000000	    712.988800000000	   9762.000000000000	      0.000000000000	      2.429365862409	      0.348461745448	      0.081666517176	      0.437797111849
713.194700	   89	  53576.000000000000	  22280.000000000000	   7698.000000000000	   1823.000000000000	    715.165000000000	    713.194700000000	   9658.000000000000	      0.000000000000	      2.404667863555	      0.345511669659	      0.081822262118	      0.433482944345
713.403400	   90	  53029.000000000000	  22259.000000000000	   7688.000000000000	   2034.000000000000	    715.405000000000	    713.403400000000	   9577.000000000000	      0.000000000000	      2.382362190575	      0.345388382227	      0.091378768139	      0.430252931399
713.620200	   91	  52552.000000000000	  22258.000000000000	   7643.000000000000	   2091.000000000000	    715.617000000000	    713.620200000000	   9497.000000000000	      0.000000000000	      2.361038727648	      0.343382154731	      0.093943750562	      0.426678048342
713.832300	   92	  52050.000000000000	  22242.000000000000	   7612.000000000000	   1884.000000000000	    715.862000000000	    713.832300000000	   9409.000000000000	      0.000000000000	      2.340167251146	      0.342235410485	      0.084704612895	      0.423028504631
714.050900	   93	  51627.000000000000	  22237.000000000000	   7576.000000000000	   1788.000000000000	    716.063000000000	    714.050900000000	   9322.000000000000	      0.000000000000	      2.321671088726	      0.340693438863	      0.080406529658	      0.419211224536
714.276000	   94	  51199.000000000000	  22221.000000000000	   7536.000000000000	   1955.000000000000	    716.271000000000	    714.276000000000	   9281.000000000000	      0.000000000000	      2.304081724495	      0.339138652626	      0.087979838891	      0.417667971738
714.493900	   95	  50806.000000000000	  22216.000000000000	   7499.000000000000	   2104.000000000000	    716.506000000000	    714.493900000000	   9151.000000000000	      0.000000000000	      2.286910334894	      0.337549513864	      0.094706517825	      0.411910334894
714.727800	   96	  50399.000000000000	  22194.000000000000	   7436.000000000000	   1961.000000000000	    716.763000000000	    714.727800000000	   9052.000000000000	      0.000000000000	      2.270838965486	      0.335045507795	      0.088357213661	      0.407857979634
